#SHEET_NAME,忆-第六回
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian,
,ChapterAnimation,BG_Yi_6,chapter_bg_Y,chapter_title_Y6,Liang,265,,,,,,,,,,,
,*map_yi_6,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_yi_6,,,,,,,,,,,,,,,
,SetChapterName,忆-第六回,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,BgEvent,牵灯夜行1,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,TRUE
,AutoSave
,,,,,,,,,,默认1,,,,说起来，我从未在如此深夜归家。,說起來，我從未在如此深夜歸家。,"Now that I think of it, I’d never come home this late before.",そういえば、深夜に家に帰ることなどこれまでになかった。,"Если подумать, то я впервые возвращаюсь домой так поздно.",
,,,,,,,,,,默认2,,,,时近子时，长街早已陷入一片墨色，万籁俱寂，只余我俩一前一后的脚步声，在空旷的街巷中回荡。,時近子時，長街早已陷入一片墨色，萬籟俱寂，只有余我倆一前一後的腳步聲，在空曠的街巷中迴盪。,"Nearing the Hour of the Rat, the long street had dissolved into pitch-black silence, broken only by the hollow echoes of our footsteps—one trailing the other—through the empty alleyways.",既に子の刻も近い。長い通りは墨をこぼしたように暗く、ひっそりと静まり返っている。私たち二人の足音だけが、こつこつと開けた路地に反響した。,"Ближе к страже <ruby=23:00-01:00>Крысы</ruby> длинная улица растворилась во мраке, а всё погрузилось в тишину, которую нарушало лишь эхо наших шагов - моих и той, что шла позади.",
,,,,,,,,,,默认3,,,,我提着一盏灯，昏黄的光晕仅能照亮脚下方寸之地。,我提著一盞燈，昏黃的光暈僅能照亮腳下方寸之地。,"I carried a lantern, its dim yellow glow barely illuminating the patch of ground beneath my feet.",私が提げている微かな光では、足元のごくわずかな範囲しか照らすことができない。,Тусклый желтоватый свет фонаря в моих руках едва освещал землю под ногами.,
,,,,,,,,,,默认4,,,,它随着我的步伐轻轻晃动，像一只温顺的萤火虫，指引着前方的道路，使得我们不会摔倒。,它隨著我的步伐輕輕晃動，像一隻溫順的螢火蟲，指引著前方的道路，使得我們不會摔倒。,"It swayed gently with my steps, like a docile firefly, lighting the path ahead to keep us from stumbling.",それは私が歩くたびにおとなしい蛍のように軽く揺れ、私たちが転んでしまわないよう、進む先を示してくれている。,"Он мягко покачивался в такт моих шагов, словно послушный светлячок, освещающий путь впереди, чтобы мы не споткнулись.",
,,,,,,,,,,默认5,,,,身后那细碎却坚定的脚步声，无时无刻不在提醒着我——今夜，我方知宥并非是独自归家。,身後那細碎卻堅定的腳步聲，無時無刻不在提醒著我——今夜，我方知宥並非是獨自歸家。,"The faint yet relentless footsteps behind me never ceased their reminder——that tonight, Fang Zhiyou was not returning home alone.",背後で聞こえる小さな、それでいてはっきりとした足音が、ずっと私にこう告げている――今夜、方知宥は一人で帰宅しない、と。,"Мелкие, но уверенные шажки за моей спиной постоянно напоминали мне - этой ночью Фан Чжию идёт домой не один.",
,,,,,,,,,,默认6,,,,约莫一炷香前，在我即将离开二十四桥柳巷之际，撞见了一位蜷缩暗处、呜咽垂泪的女子。,約莫一炷香前，在我即將離開二十四橋柳巷之際，撞見了一位蜷縮暗處、嗚咽垂淚的女子。,"About an hour ago, as I neared the end of Willow Lane at Twenty-Four Bridges, I spotted a woman hunched in the shadows, weeping softly.",およそ一炷香前。二十四橋の柳巷を抜けようとしたところで、暗がりにうずくまって泣いている女と出会った。,"Примерно время горения одной палочки благовоний тому назад, собираясь уже покидать ""Ивовый переулок"", я наткнулся на свернувшуюся в калачик и горько плакавшую девушку.",
,,,,,,,,,,默认7,,,,我给了她一两银子，本意是劝她早些归去，她却以无处可归为由，一路默默相随，直至此地。,我給了她一兩銀子，本意是勸她早些歸去，她卻以無處可歸為由，一路默默相隨，直至此地。,"I gave her one tael of silver, hoping to persuade her to leave, but she silently followed me all the way here, claiming she had nowhere else to go.",さっさと帰らせてやるつもりで少し金をやったのだが、帰る場所がないという理由でついてきてしまい、現在に至る。,"Я дал ей таэль серебра с мыслью, чтобы она поскорее могла вернуться домой, но вместо этого, под предлогом того, что ей больше некуда идти, она стала молча следовать за мной всю дорогу.",
,Se,推门,,,,,,,,,,,,,,,,
,BgEventOff,CG名,,,,,1,,,,,,,,,,,
,Bg,方院外街道忆夜,,,,,,,,,,,,,,,,
,,,,,,,,,,默认8,,,,——吱呀,——吱呀,—Creak,――ギイ,*Скрип.*,
,,,,,,,,,,默认9,,,,我推开了方院的木门。,我推開了方院的木門。,I pushed open the wooden door of Fang's Courtyard.,方院の門を押し開けた。,Я распахнул деревянные ворота двора семьи Фан.,
,CharacterOff,,,,,,3,,,,,,,,,,,
,HideMessageWindow,,,,,,,,,,,,,,,,,
,CaptureImage,截图,SpriteCamera,背景截图,,,,,,,,,,,,,,
,Bg,方院夜,,,,,,,,,,,,,,,,
,RuleFadeOut,截图,FadeCircle,,Linear,,3,,PageWait,,,,,,,,,
,Wait,,,,,,1,,,,,,,,,,,
,ShowMessageWindow,,,,,,,,,,,,,,,,,
,Ambience,室内沙沙,TRUE,,,,,,,,,,,,,,,
,,,,,,,,,,默认10,,,,方院不算轩敞，一庭三室，但于我一人而言，已是绰绰有余。,方院不算軒敞，一庭三室，但於我一人而言，已是綽綽有餘。,"Fang's Courtyard wasn’t particularly spacious—just a single courtyard with three rooms—but for me alone, it was more than enough.",庭が一つに家屋が三つ、そう広い屋敷ではない。だが一人暮らしの私には、十分すぎるほどのゆとりだ。,Двор был не особенно просторен - всего два флигеля и главный дом - но для одного меня этого было более чем достаточно.,
,,,,,,,,,,默认11,,,,此地与我缘分匪浅。曾几何时，我与雁儿姐便隔着一扇门，背靠背地倚坐于此。,此地與我緣分匪淺。曾幾何時，我與雁兒姐便隔著一扇門，背靠背地倚坐於此。我們一同背書，一同奏樂，分享彼此的悲喜，如此度過了一年多的光陰。後來，方家人察覺了我們的私會，再見她便難如登天。,"This place held a deep connection for me. Once, <ruby=Swan Goose>Sister Yan</ruby> and I sat back-to-back here, separated only by a door. We studied together, played music together, shared each other’s joys and sorrows—over a year passed like this. Later, the Fang Family discovered our secret meetings, and seeing her again became as difficult as climbing to the heavens.",この場所には深い縁がある。かつて雁姉と門一枚挟んで背中合わせに座っていたものだ。共に本を読み、曲を奏で、一年近く苦楽を共にする暮らしをした。その後は密会がばれ、再び会うことは難しくなった。,"Это место было связано со мной нитями судьбы. Когда-то мы с сестричкой Лебёдушкой сидели здесь спина к спине, разделённые лишь воротами. Больше года мы вместе учились, играли музыку, делились радостями и бедами. Затем в семье Фан прознали про наши тайные встречи, и снова повидаться с ней стало задачей крайне трудной.",
,,,,,,,,,,默认1111,,,,我们一同背书，一同奏乐，分享彼此的悲喜，如此度过了一年多的光阴。后来，方家人察觉了我们的私会，再见她便难如登天。,,,,
,,,,,,,,,,默认12,,,,再后来，伯父死了，她被伯母送走了，不知所踪。,再後來，伯父死了，她被伯母送走了，不知所蹤。,"Later, Uncle died, and Aunt sent her away—no one knows where she went.",後に伯父が死に、彼女は伯母にどこかにやられてしまい、行方知れずとなった。,"Ну а потом дядя умер, а тётя её выслала в неизвестном направлении.",,,
,,林翩翩,,,,,,,,默认305,,林翩翩/13_林翩翩_078,,[且慢……为何不会是官军？],[且慢……為何不會是官軍？],"""Wait... Why couldn’t it have been government troops?""",「まって……どうしてそう言い切れるの？」,"""Погоди... почему не они?""",,,
,,方知宥,,,,,,,,默认306,,方知宥/13_方知宥_42,,[官军杀民，通常会割取首级换赏银……我爹娘遇害时，尸首是完整的。],[官軍殺民，通常會割取首級換賞銀……我爹娘遇害時，屍首是完整的。],"""When government troops kill civilians, they usually take heads to claim bounty silver... When my Father and Mother were murdered, their bodies remained whole.""",「官軍が民を殺すと、普通は首を取って金に換えるんだ……でも私の両親の首はちゃんとついてた」,"""Когда правительственные войска убивают простых людей, то отрезают им головы, чтобы получить награду. У моих родителей головы были на месте.""",,,
,,,,,,,,,,默认307,,,,我略微带苦笑，以哀叹的语气，说出了当年的事。,我略微帶苦笑，以哀嘆的語氣，說出了當年的事。,I offered a hollow smile and recounted that year's events in a voice thick with sorrow.,私は少し苦笑しつつ、ため息まじりで当時のことを話し始めた。,С натянутой улыбкой и лёгкой грустью в голосе пересказал я ей события тех лет.,,,
,,,,,,,,,,默认308,,,,毕竟是提起亲生父母的死状，哪怕这么多年过去了，仍不免心生刺痛。,畢竟是提起親生父母的死狀，哪怕這麼多年過去了，仍不免心生刺痛。,"Speaking of my own parents' final moments—even now, the memory cuts deep.",両親の死にざまについて語ると、何年経っていようと心がずきりと痛む。,"Даже сейчас, после стольких лет, рассказывая о смерти родителей, я чувствовал в сердце боль.",,,
,,,,,,,,,,默认3081,,,,其实，多年来搜集的证据，使我几乎确信杀死父母的仇人是鞑子。,其實，多年來搜集的證據，使我幾乎確信殺死父母的仇人是韃子。,,,"По правде говоря, на основании собранных мной за много лет доказательств я был практически уверен, что убийцами моих родителей были именно варвары.",,,
,,,,,,,,,,默认3082,,,,但是，我疑心她大概不了解鞑子，便在这次讲的时候把山匪也并列着说。,但是，我疑心她大概不了解韃子，便在這次講的時候把山匪也並列著說。,,,"Но я подозревал, что она может и толком не знать, кто такие эти северные варвары, поэтому поставил их в один ряд с разбойниками.",,,
,,,,,,,,,,默认3083,,,,匪虏近似，倒也好让她理解。,匪虜近似，倒也好讓她理解。,,,"Так, по крайней мере, она поймёт, что это кто-то похожий на последних.",,,
,,林翩翩,,,,,,,,默认309,,林翩翩/13_林翩翩_079,,[我……我不该问得这般仔细。],[我……我不該問得這般仔細。],"""I... I shouldn't have pried so harshly.""",「あっ……突っ込んだことを聞いちゃまずかったわね」,"""Мне... мне не стоило об этом спрашивать.""",,,
,,,,,,,,,,默认310,,,,林翩翩从我的语气察觉到我的情绪变得低落，便如同做错事一般压低了声音。,林翩翩從我的語氣察覺到我的情緒變得低落，便如同做錯事一般壓低了聲音。,Lin Pianpian caught the desolation in my tone and shrank her voice like a chastened child.,私の声が落ち込んだものになったのを察し、悪いことでもしたかのように翩翩が声を落とした。,"Виновато приглушила голос Линь Пяньпянь, уловив тоску в моём голосе.",,,
,,方知宥,,,,,,,,默认311,,方知宥/13_方知宥_43,,[无妨，他们去得早，我已不至过分伤心了。],[無妨，他們去得早，我已不至過分傷心了。],"""No matter. They've been gone so long—the grief no longer cripples me.""",「いいさ。ずいぶん昔の話だ。泣くほどじゃない」,"""Да ничего. Их давно уже нет, я уже так сильно об этом не печалюсь.""",,,
,,林翩翩,,,,,,,,默认312,,林翩翩/13_林翩翩_080,,[但偶尔独自一人，还是会很难受吧？],[但偶爾獨自一人，還是會很難受吧？],"""But the loneliness still claws at you sometimes, doesn't it?""",「でも、一人ぼっちで辛くなる時はない？」,"""Но тебе всё равно иногда одиноко, ведь так?""",,,
,BgEvent,方侧卧1,,,,,2,,,,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,,,,
,BgEvent,方侧卧2,,,,,2,,,,,,,,,,,,,,
,Se,女生脱衣声,,,,,,,,,,,,,,,,,,,
,,方知宥,,,,,,,,默认313,,方知宥/13_方知宥_44,,[还好……确实有时会觉得有些孤清……你、你你做甚么？！！],[還好……確實有時會覺得有些孤清……你、你你做什麼？！！],"""Thankfully... There are indeed times when I feel a bit lonely and desolate... Y-you—what are you doing?!!""",「まあまあかな……確かに孤独感を感じる時はあるが……って、お、おい！何してるんだ！？」,"""Да... Мне действительно временами бывает одиноко... Эй, т-ты чего делаешь!?""",,,
,,,,,,,,,,默认314,,,,正当我语气渐趋低沉时，忽见墙上灯影中，林翩翩蓦地坐起身，人影一阵忙乱，竟似在解衣服！,正當我語氣漸趨低沉時，忽見牆上燈影中，林翩翩驀地坐起身，人影一陣忙亂，竟似在解衣服！,"Just as my voice grew somber, I suddenly saw Lin Pianpian abruptly sit up in the lamplight’s shadow on the wall. Her silhouette flustered about, as if she were—undressing?!",私の口調が次第に低くなっていったその時、ふと壁の影の中の翩翩がむくりと起き上がり、がさごそと服を脱ぐようなしぐさを始めた。,"Когда мой голос уже было становился тише, я вдруг заметил, как в дрожащем свете фонаря Линь Пяньпянь резко приподнялась. По её силуэту на стене казалось, будто она начала раздеваться!",,,
,,林翩翩,,,,,,,,默认315,,林翩翩/13_林翩翩_081,,[呵……知宥小弟，瞧你慌的。我只是觉得有些燥热，再脱一件外衫罢了。],[呵……知宥小弟，瞧你慌的。我只是覺得有些燥熱，再脫一件外衫罷了。],"""Heh... Little Zhiyou, look how flustered you are. I’m just feeling a bit overheated—shedding one more outer robe is all.""",「ふふっ……なーに焦ってんのよ、知宥。ちょっと暑いから上着を脱いだだけよ」,"""Хи-хи, маленький братик Чжию, ну что ты так всполошился. Мне просто жарко стало, вот и снимаю верхнюю одежду.""",,,
,BgEvent,方侧卧3,,,,,2,,,,,,,,,,,,,,
,,林翩翩,,,,,,,,默认316,,林翩翩/13_林翩翩_082,13_3,[放心，我不会脱光的……咱们早有约在先，你不情愿，我绝不会乱爬你的床。],[放心，我不會脫光的……咱們早有約在先，你不情願，我絕不會亂爬你的床。],"""Don’t worry, I won’t strip completely bare... We’ve long had an agreement: if you’re unwilling, I’d never dare crawl into your bed.""",「安心して、素っ裸にはならないから……約束したでしょ、あんたが嫌なら、布団に潜り込んだりなんてしないって」,"""Да не бойся, догола раздеваться я не буду... Мы же договорились - если сам этого не захочешь, лезть тебе в кровать я не буду.""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认317,,,,她语带娇嗔地笑了笑。,她語帶嬌嗔地笑了笑。,"She laughed, her tone teasing and coy.",からかうように彼女が笑った。,"Рассмеялась она, кокетливо подкалывая меня.",,,
,,,,,,,,,,默认318,,,,我有些尴尬，没有回应她，只是缩紧身子在被子里，面对着她的影子，背对着她的身子。,我有些尷尬，沒有回應她，只是縮緊身子在被子裡，面對著她的影子，背對著她的身子。,"Embarrassed, I didn’t respond, only curling tighter under the blankets—facing her shadow, turning my back to her body.",私は気まずくなり、何も言い返せなかった。ただ自分の布団をかぶって彼女の影の方を見て、彼女に背を向けた。,"От неловкости я ничего не ответил, лишь свернулся под одеялом и лёг спиной к ней самой, а лицом к её тени.",,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认319,,,,唉！,唉！,Alas!,まったく！,Да уж!,,,
,,,,,,,,,,默认320,,,,好不容易想找回的场子。,好不容易想找回的場子。,The dignity I'd fought so hard to reclaim.,せっかく主導権を取り戻そうとしたのに。,"Авторитет, который я так старался восстановить...",,,
,,,,,,,,,,默认321,,,,又被她这大胆的行动给找了回去。,又被她這大膽的行動給找了回去。,Was stolen right back by her boldness.,彼女が大胆なことをしたせいで、また振り出しに戻ってしまった。,Был снова украден её дерзостью.,,,
,,,,,,,,,,默认322,,,,她在我家里，倒显得比我还不拘谨，比我更像是这里的主人。,她在我家裡，倒顯得比我還不拘謹，比我更像是這裡的主人。,"In my own home, she acted with even less restraint than I did—more like the lady of the house.",私の家だというのに、むしろ私よりも無遠慮で、どちらが家の主かわからなくなってしまいそうだ。,"В моём собственном доме она вела себя гораздо вальяжнее, чем я. Будто она была тут главной.",,,
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,方知宥,,,,,,,,默认323,,,,[……],[……],"""...""",「……」,"""...""",,,
,,林翩翩,,,,,,,,默认324,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认325,,,,我们沉默了半晌没有说话。,我們沉默了半晌沒有說話。,We fell into silence for a long moment.,しばらく、互いに何も口を開かなかった。,Мы какое-то время молчали.,,,
,,,,,,,,,,默认326,,,,林翩翩大概也是觉得有些尴尬，亦或是累了想休息了。,林翩翩大概也是覺得有些尷尬，亦或是累了想休息了。,"Lin Pianpian must’ve felt awkward too, or maybe she was just exhausted and needed rest.",おそらく翩翩も少し気まずくなったか、疲れて休みたくなったのだろう。,"Наверное, ей тоже было слегка неловко, либо же она просто устала и хотела уже спать.",,,
,BgEvent,方侧卧1,,,,,2,,,,,,,,,,,
,,,,,,,,,,默认327,,,,她的影子重新躺了下去，也缩成一团，躲在了我的影子里。,她的影子重新躺了下去，也縮成一團，躲在了我的影子裡。,"Her shadow curled up again, vanishing into mine.",再び彼女の影が横たわり、丸くなって私の影に隠れた。,"Её тень, слившись с моей, снова легла.",,,
,,,,,,,,,,默认328,,,,此时此刻，唯有空气中渐渐弥漫开的一缕混合了脂粉气的女子体香，证明着她的存在。,此時此刻，唯有空氣中漸漸瀰漫開的一縷混合了脂粉氣的女子體香，證明著她的存在。,Only the lingering trace of her perfume—sweet with powder—hovering in the air proved she’d ever existed.,今この時、空気中にほんのりと漂う白粉混じりの女の香りだけが、彼女の存在を証明していた。,"Лишь лёгкий след запаха женского тела, смешанного с запахом пудры, давал понять, что она ещё тут.",,,
,,,,,,,,,,默认329,,,,正当我也想睡觉，合上双目时，她却突然又开了口——,正當我也想睡覺，合上雙目時，她卻突然又開了口——,"Just as I was about to close my eyes to sleep, she suddenly spoke again——",私もちょうど眠りにつこうと目を閉じた時、彼女が再び口を開いた――,"Когда я хотел уже закрыть глаза и уснуть, она вдруг снова заговорила.",,,
,,林翩翩,,,,,,,,默认330,,林翩翩/13_林翩翩_083,,[喂……我还是觉得你很奇怪。],[喂……我還是覺得你很奇怪。],"""Hey... I still think you're very strange.""",「ねえ……やっぱりあんたって、変な人だと思う」,"""Эй... Я всё ещё думаю, что ты странный.""",,,
,,,,,,,,,,默认331,,,,她轻声喃喃道。,她輕聲喃喃道。,She murmured softly.,ぽそりと彼女が呟く。,Пробормотала она.,,,
,,方知宥,,,,,,,,默认332,,方知宥/13_方知宥_45,,[何处奇怪？],[何處奇怪？],"""What's strange?""",「どこが変だ？」,"""Ну и почему же?""",,,
,,,,,,,,,,默认333,,,,我轻声问。,我輕聲問。,I asked quietly.,私もそっと尋ねる。,Тихо спросил я.,,,
,BgEvent,林翩翩侧卧6,,,,,1,,,,,,,,,,,
,,林翩翩,,,,,,,,默认334,,林翩翩/13_林翩翩_084,,[我见过许多男人……哪怕是没碰过女人的人，会如你这般紧张，也不会这般躲着我……],[我見過許多男人……哪怕是沒碰過女人的人，會如你這般緊張，也不會這般躲著我……],"""I've seen many men... Even inexperienced ones might be as nervous as you, but none would avoid me like this...""",「今までいろんな男を見てきたけれど……いくら女との出会いがなかったからって、緊張することはあっても、ここまであたしを避けることはないから」,"""Я столько мужчин видела... Даже те, кто в жизни не прикасался к девушкам, пусть и стесняются, как ты, но уж точно бы не стали так меня избегать...""",,,
,,林翩翩,,,,,,,,默认335,,林翩翩/13_林翩翩_085,,[男人都是好色的，哪怕是没什么经验的男人，会有一副拘谨的样子……也经常偷偷瞥人……若是用眼波勾挑几下……很快便原形毕露了。],[男人都是好色的，哪怕是沒什麼經驗的男人，會有一副拘謹的樣子……也經常偷偷瞥人……若是用眼波勾挑幾下……很快便原形畢露了。],"""All men are lustful—even the inexperienced ones might act reserved... but they still steal glances... If I tease them with a few lingering looks... their true colors show soon enough.""",「男ってみんなすけべなものよ。経験がない男だって、かたぶつなふりして……ちらちら見てるんだから。ちょっと色目を使ってやれば……すぐに本性を現すわ」,"""Все мужчины похотливы... даже если у них нету опыта в 'этом деле', даже если они напустили на себя сдержанный вид... то всё равно нет-нет да и будут тайком поглядывать на тебя... И стоит лишь поманить их взглядом, так они сразу покажут свою истинную натуру.""",,,
,,林翩翩,,,,,,,,默认336,,林翩翩/13_林翩翩_086,,[你完全不是这样的……莫非你同骗了我娘的那人一般，早已成家了？心里只惦记自己的妻儿？],[你完全不是這樣的……莫非你同騙了我娘的那人一般，早已成家了？心裡只惦記自己的妻兒？],"""You're nothing like that at all... Are you like the man who tricked my mother—already wed, caring only for your wife and children?""",「でもあんたはそういうのじゃない……もしかして、あたしのお母さんを騙した男のように、もう家庭があるの？心にいるのは妻や子供だけ？」,"""А ты ведь не такой... Ты что, как тот человек, что обрюхатил мою маму? Уже женат, и в сердце у тебя лишь жена да дети?""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,BgEvent,林翩翩侧卧6,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认337,,,,她声音低低的，这次没带着轻佻的语气，而是有些严肃地问道。,她聲音低低的，這次沒帶著輕佻的語氣，而是有些嚴肅地問道。,"Her voice dropped, no longer playful but edged with seriousness as she asked.",低い声で彼女が尋ねる。先ほどまでの軽薄な口調とは打って変わって、真剣さがある。,Серьёзно спросила она меня. В её голосе исчезла та былая игривость.,,,
,,方知宥,,,,,,,,默认338,,方知宥/13_方知宥_46,,[我年方十七，又是父母双亡，你觉得可能？],[我年方十七，又是父母雙亡，你覺得可能？],"""I'm barely seventeen, and orphaned. How could that be possible?""",「十七歳で両親もいないのに、いると思うか？」,"""Да мне едва семнадцать исполнилось, да и сирота я к тому же - думаешь, такое было бы возможно?""",,,
,,,,,,,,,,默认339,,,,我哭笑不得地反问道。,我哭笑不得地反問道。,"I shot back, torn between amusement and irritation.",私は呆れてそう返す。,"Не зная, плакать мне или смеяться, я ответил вопросом на вопрос.",,,
,,林翩翩,,,,,,,,默认340,,林翩翩/13_林翩翩_087,,[那你喜欢男人？],[那你喜歡男人？],"""Then do you prefer men?""",「じゃあ、男が好きなの？」,"""Так, значит, ты по мальчикам?""",,,
,,,,,,,,,,默认341,,,,她的语气变得轻佻。,她的語氣變得輕佻。,Her tone turned mischievous.,彼女の口調に軽薄さが戻った。,Игриво спросила она меня.,,,
,,方知宥,,,,,,,,默认342,,方知宥/13_方知宥_47,,[绝无可能！],[絕無可能！],"""Not a chance!""",「そんなわけないだろ！」,"""Точно нет!""",,,
,,,,,,,,,,默认343,,,,我否认得很坚决。,我否認地很堅決。,I refused outright.,きっぱりと否定した。,Решительно отверг я подобное предположение.,,,
,,林翩翩,,,,,,,,默认344,,林翩翩/13_林翩翩_088,,[那……是已有心上人了？],[那……是已有心上人了？],"""That... So there's someone you love?""",「じゃあ……もう好きな人がいるとか？」,"""Значит... у тебя уже есть кто-то, кого ты любишь?""",,,
,,,,,,,,,,默认345,,,,她以轻快的语气猜测道，却像是在逼问。,她以輕快的語氣猜測道，卻像是在逼問。,"She prodded lightly, though it sounded more like an accusation.",口調こそ軽快だが、まるで尋問だ。,"Пусть она и высказывала это лёгким тоном, но всё равно звучало так, будто она меня допрашивала.",,,
,,方知宥,,,,,,,,默认346,,,,[……],[……],"""...""",「……」,"""...""",,,
,,,,,,,,,,默认347,,,,我沉默。,我沉默。,I remain silent.,私は押し黙った。,Я промолчал.,,,
,,林翩翩,,,,,,,,默认348,,林翩翩/13_林翩翩_089,,[不答便是默认了？],[不答便是默認了？],"""No answer means you agree by default?""",「答えないってことは、認めるの？」,"""Молчание - знак согласия, да?""",,,
,,方知宥,,,,,,,,默认349,,方知宥/13_方知宥_48,,[或算是，或不算吧。],[或算是，或不算吧。],"""Perhaps yes, perhaps no.""",「そうかもしれないし、そうでもないかもしれない」,"""Можно сказать, что есть, но можно сказать, что и нет.""",,,
,,林翩翩,,,,,,,,默认350,,林翩翩/13_林翩翩_090,,[哦？与我讲讲可好？],[哦？與我講講可好？],"""Oh? Would you tell me about it?""",「ふうん？聞きたいな」,"""А? Ну расскажи мне.""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,Se,翻身,,,,,,,,,,,,,,,,
,BgEvent,方侧卧1,,,,,1,,,默认351,,,,一一阵窸窣声响，她似翻转身子，准备细听。,一一陣窸窣聲響，她似翻轉身子，準備細聽。,"A rustling sound—she turns over, ready to listen intently.",――がさがさと音がする。体を返し、耳を澄まそうとしている。,"Я услышал шуршание - она повернулась ко мне, готовая слушать.",,,
,,方知宥,,,,,,,,默认352,,方知宥/13_方知宥_49,,[小时候，我爹娘刚遇害时，大伯欲收养我为嗣，派人将我自晋地接至扬州。],[小時候，我爹娘剛遇害時，大伯欲收養我為嗣，派人將我自晉地接至揚州。],"""When I was young, right after Father and Mother were killed, Uncle sought to adopt me as his heir and had me brought from Jin Territory to Yangzhou.""",「子供の頃の話だ。両親が殺された時、伯父が私を養子にしようと、人をやって晋から揚州まで私を連れてこさせようとした」,"""Когда моих родителей убили, дядя решил усыновить меня в качестве наследника и отрядил людей, чтобы привезти меня из Шаньси в Янчжоу...""",,,
,,方知宥,,,,,,,,默认353,,方知宥/13_方知宥_50,,[当时，与我一同踏入大伯家门的，还有一个比我大两岁的小姑娘，她被大伯暂且收养，待年岁稍长，便要被纳为妾室。],[當時，與我一同踏入大伯家門的，還有一個比我大兩歲的小姑娘，她被大伯暫且收養，待年歲稍長，便要被納為妾室。],"""At the time, alongside me entering Uncle's household was a girl two years older. She was temporarily taken in by Uncle to become his concubine once she came of age.""",「その時、私と一緒にもう一人、二つ上の女の子が伯父の家に入った。彼女は一時的に引き取られ、年頃になったら伯父の妾になる予定だった」,"""Тогда со мной вместе привезли девочку, на два года старше меня. Дядя взял её, чтобы сделать наложницей, когда та подрастёт.""",,,
,,,,,,,,,,默认354,,,,我回忆着关于雁儿姐的事，一点点说了出来。,我回憶著關於雁兒姐的事，一點點說了出來。,"I recount memories of <ruby=Swan Goose>Sister Yan</ruby>, piecing them together slowly.",雁姉のことを思い出しながら、ぽつりぽつりと話す。,"Рассказывал я, вспоминая то, что было связано с сестричкой Лебёдушкой.",,,
,,林翩翩,,,,,,,,默认355,,林翩翩/13_林翩翩_091,,[喔，我懂得，是为了延续香火吧……那她岂非险些成了你的小娘？怎又成了你的心上人？],[喔，我懂得，是為了延續香火吧……那她豈非險些成了你的小娘？怎又成了你的心上人？],"""Oh, I understand. It's to continue the family line, right... Then wouldn't she have almost become your stepmother? How did she end up being your sweetheart?""",「ああ、なるほど。子孫を残すためね……だったら、あんたの継母になってたかもしれないんでしょ？どうしてそんな子に惚れたの？」,"""А, поняла. Она должна была продолжить род... А разве она не должна была стать твоей 'младшей матерью'? Почему ты влюбился в неё?""",,,
,CharacterOff,,,,,,,,,,,,,,,,,
,,,,,,,,,,默认356,,,,她问道。,她問道。,She asked.,彼女が訊く。,Спросила она.,,,
,,方知宥,,,,,,,,默认357,,方知宥/13_方知宥_51,,[我也不知。],[我也不知。],"""I don't know either.""",「私にもわからない」,"""Сам не знаю.""",,,
,,方知宥,,,,,,,,默认358,,,,[……],[……],"""...""",「……」,"""...""",,,
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认359,,,,我确实答不上来。,我確實答不上來。,I truly can't answer that.,事実、答えようがなかった。,Я правда не знал.,,,
,,,,,,,,,,默认360,,,,我当年是怎么对雁儿姐动心的？,我當年是怎麼對雁兒姐動心的？,How did I fall for <ruby=Swan Goose>Sister Yan</ruby> back then?,あの時、どうして雁姉のことを好きになったのだろうか。,Откуда у меня появились чувства к сестричке Лебёдушке?,,,
,,,,,,,,,,默认361,,,,是因为她牵我手，带我从客栈跑出？,是因為她牽我手，帶我從客棧跑出？,Was it because she took my hand and led me out of the inn?,私の手を引き、宿から連れ出してくれたから？,"Из-за того, что она схватила мою руку и мы вместе сбежали из трактира?",,,
