#SHEET_NAME,聊斋
,Command,Arg1,Arg2,Arg3,Arg4,Arg5,Arg6,Arg7,WaitType,Text,PageCtrl,Voice,WindowType,SC,TC,English,Japanese,Russian
,*map_commonEnd_9,,,,,,,,,,,,,,,,
,UnlockPlotMap,map_commonEnd_9,,,,,,,,,,,,,,,
,SetChapterName,聊斋,,,,,,
,Wait,,,,,,1,
,FadeOut,black,,,,,0,
,Bg,二十四桥记偏,,,,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Ambience,室外主风,,2
,,,,,,,,,,默认1,,,,雨后，二十四桥静卧河水之上，两岸垂柳蘸水低垂。,雨後，二十四橋靜臥河水之上，兩岸垂柳蘸水低垂。,"After the rain, the Twenty-Four Bridges rested quietly over the river, with weeping willows on both banks dipping their branches toward the water.",雨上がりの川面には、二十四橋が静かに横たわり、両岸の柳が水面に浸るように低く垂れ下がっている。,"После дождя двадцать четыре моста тихо лежали над рекой, а ивы на обоих берегах склонялись к воде."
,,,,,,,,,,默认2,,,,柳丝将坠未坠，时而被风掠起，时而跌进河面，揉碎河中的倒影。,柳絲將墜未墜，時而被風掠起，時而跌進河面，揉碎河中的倒影。,"The willow strands seemed about to fall but never did, now swept up by the wind, now dropping onto the river’s surface, rippling the reflections within.",柳の枝は今にも落ちそうになりながら、時折風に揺られ、時には川面に落ち、水面に映る影を揺らめかせる。,"Ивовые ветви, словно готовые упасть, то поднимались под порывами ветра, то опускались на поверхность реки, размывая отражение в воде."
,,,,,,,,,,默认3,,,,在旁人眼中，此时河中的倒影大概仅有我一人。,在旁人眼中，此時河中的倒影大概僅有我一人。,"To others, the reflection in the water likely showed only me.",他人の目には、この時、川面に映る影は私一人しか見えないだろう。,"В глазах посторонних в это время в реке, наверное, был только я."
,,,,,,,,,,默认4,,,,但是，在我的眼中，始终有一抹紫白色的身影立于对面。,但是，在我的眼中，始終有一抹紫白色的身影立於對面。,"But in my eyes, there was always a purple-and-white figure standing opposite me.",しかし、私の目には、対岸に紫がかった白い人影がずっと立っている。,Но в моих глазах на противоположном берегу всегда стояла фигура в пурпурно-белом.
,,苏怜烟,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认5,,,,她的青丝如柳，随风起伏。,她的青絲如柳，隨風起伏。,Her dark hair swayed like willows in the wind.,彼女の黒髪は柳のようで、風に揺れている。,"Ее черные волосы, как ивы, колышутся на ветру."
,,,,,,,,,,默认6,,,,她的明眸如月，穿桥望来。,她的明眸如月，穿橋望來。,"Her bright eyes shone like the moon, gazing at me through the bridge.",彼女の澄んだ瞳は月のように、橋の向こうからこちらを見つめている。,"Ее ясные глаза, как луна, смотрят через мост."
,Sprite,黑,,特效前,,,0.5,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0 time=0,,,,,,,,,,,,,,
,Tween,黑,ColorTo,alpha=0.4 time=0,,,,,NoWait,,,,,,,,,
,Wait,,,,,,0,,,,,,,,,,,
,,,,,,,,,,默认8,,,,一切本该尘埃落定。,一切本該塵埃落定。,Everything should have come to an end.,すべてはとっくに決着がついているはずだった。,Все должно было улечься.
,,,,,,,,,,默认9,,,,往后本该一人独行。,往後本該一人獨行。,"From now on, I should have walked alone.",これからは一人で歩むはずだった。,Впредь я должен был идти в одиночестве.
,,,,,,,,,,默认10,,,,可是……,可是……,Yet…,しかし……,Но…
,,,,,,,,,,默认11,,,,好不容易与她重逢。,好不容易與她重逢。,"Now that I have finally reunited with her,",せっかく彼女と再会できたのだ。,С таким трудом мы снова встретились.
,,,,,,,,,,默认12,,,,何必清醒负此深情？,何必清醒負此深情？,why let clarity betray such deep affection?,なぜ、この深い想いを捨てて、冷静にならなければならないのか？,Зачем же отказываться от этой глубокой любви?
,SpriteOff,黑,,,,,0.5,,NoWait,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,Se,短风,,1.9,,,,,,,,,,,,,,
,,,,,,,,,,默认14,,,,——呼,——呼,—Whoosh,――はあ,— Вздох
,,,,,,,,,,默认15,,,,一阵微风掠过。,一陣微風掠過。,—A gust of wind swept by.,そよ風が吹き抜けた。,Пронесся легкий ветерок.
,,,,,,,,,,默认16,,,,我向前踏出几步——,我向前踏出幾步——,I took a few steps forward—,私は数歩前に踏み出した――,Я сделал несколько шагов вперед —
,FadeOut,black,,,,,1,,,,,,,,,,,
,Se,风声,,1.5,,,,,,,,,,,,,,
,,,,,,,,,,默认17,,,,——呼,——呼,—Whoosh,――ふっ,— Хм
,BgEvent,最后的拥抱1,,,,,,,,,,,,
,FadeIn,black,,,,,2,,,,,,,,,,,
,Bgm,与雁同行,,,,0.2,3,,,,,,,,,,,
,Se,踏步,,2,,,,,,,,,,
,,,,,,,,,,默认18,,,,我不顾一切的向她跑来，裹着一阵携雨的风，将她拥入我的怀中——,我不顧一切的向她跑來，裹著一陣攜雨的風，將她擁入我的懷中——,"I ran towards her at all costs, wrapped in a gust of rain carrying wind, and embraced her into my arms——",私は彼女に向かって必死に走ってきて、雨を携えた風に包まれて、彼女を私の懐に押し込んだ。
,,,,,,,,,,默认19,,,,几年前，是她不舍与我分别，蓦然回首。,幾年前，是她不捨與我分別，驀然回首，擁入了我的懷中。,"Years ago, she was the one who couldn’t bear to part, turning back suddenly to embrace me.",数年前は、彼女が私との別れを惜しみ、振り返って私を抱きしめた。,"Несколько лет назад она, не в силах расстаться со мной, резко обернулась и прильнула к моей груди.","Несколько лет назад она, не в силах расстаться со мной, резко обернулась и прильнула к моей груди.",
,,,,,,,,,,默认126,,,,最初的三年并不太平。,最初的三年並不太平。,The first three years were anything but peaceful.,最初の三年は、平穏な道のりとはいかなかった。,Первые три года были не особенно мирными.,,
,,,,,,,,,,默认127,,,,这三年，我根本无暇写书，终日所思，大多都是谋生二字。,這三年，我根本無暇寫書，終日所思，大多都是謀生二字。,"During those three years, I had no time to write; my days were consumed by the struggle to survive.",本を書く暇もなく、これからどう生計を立てるか一日中考えていた。,"За эти годы у меня совершенно не было времени писать книги - целыми днями в моих мыслях были только слова ""как бы прокормиться"".",,
,,,,,,,,,,默认128,,,,这期间，无论我们去到哪里，都先会躲避当地的盗匪和逃兵。,這期間，無論我們去到哪裡，都先會躲避當地的盜匪和逃兵。,"Wherever we went during that time, our first task was to evade local bandits and deserters.",その間、どこに行ってもまず現地の盗賊や逃走兵をかわすことから始まった。,"Куда бы мы ни шли, в первую очередь нам приходилось следить за тем, как бы не наткнуться на местных разбойников и дезертиров.",,
,,,,,,,,,,默认129,,,,等确定周围安全下来后，便会去附近找个差事，勉强糊口。,等確定周圍安全下來後，便會去附近找個差事，勉強餬口。,"Once we confirmed the area was safe, we would take odd jobs nearby to barely get by.",周囲が安全になってからようやく、近くで仕事を見つけて糊口をしのいだ。,"Как только мы убеждались, что вокруг безопасно, то я искал себе какую-нибудь работу поблизости, чтобы хоть как-то перебиваться.",,
,,,,,,,,,,默认130,,,,从扬州离开没多久后，我便听闻了李闯殒命九宫山的消息。,從揚州離開沒多久後，我便聽聞了李闖殞命九宮山的消息。,"Not long after leaving Yangzhou, I heard of Li Chuang's death at Jiugong Mountain.",揚州を出てから程なくして、李自成が九宮山で死んだという知らせを聞いた。,"Вскоре после того, как мы покинули Янчжоу, до меня дошло известие о гибели Ли ""Идущего Напролом"" у горе Цзюгун.",,
,,,,,,,,,,默认131,,,,那原本与东虏作战的大顺军从此失去了主心骨，他们后继无人、做鸟兽散、多数都成了祸害百姓的山林土匪，少数则是投了明军。,那原本與東虜作戰的大順軍從此失去了主心骨，他們後繼無人、做鳥獸散、多數都成了禍害百姓的山林土匪，少數則是投了明軍。,"The Dashun Army, which had originally fought against the Eastern Barbarians, lost its leadership core. Without successors, they scattered like startled animals—most became mountain bandits preying on civilians, while a few defected to the Ming Army.",東虜と戦い続けた大順軍はこうして屋台骨を失い、後を継ぐ者もおらず散り散りになった。そのほとんどが民を襲う山賊となり、一部は明軍に投降した。,"Войско ""Великой Шунь"", которое изначально сражалось с ""восточными лу"", отныне утратило свой хребет - преемника своему вожаку у них не нашлось, и они разбрелись, как дикие птицы и звери. Большая часть подалась в разбойники, наводя ужас на мирное население, малая же примкнула к войскам Мин.",,
,,,,,,,,,,默认132,,,,东虏则仿佛成了天命所归，连战连捷。,東虜則彷彿成了天命所歸，連戰連捷。,"The Eastern Barbarians seemed heaven-blessed, winning consecutive victories.",東虜は天に導かれたかのように連戦連勝を重ねた。,"""Восточные лу"" же как будто отныне были удостоены ""Небесного Мандата"", выигрывая сражения одно за другим.",,
,,,,,,,,,,默认133,,,,他们连破数城，很快便攻入南京，没过多久便擒获了弘光皇帝，覆灭了朝廷。,他們連破數城，很快便攻入南京，沒過多久便擒獲了弘光皇帝，覆滅了朝廷。,"They stormed multiple cities, soon breached Nanjing's defenses, and within months captured the Hongguang Emperor, toppling the imperial court.",いくつもの町を落とし、そうかからず南京に攻め入ったかと思うと、程なくして弘光帝を捕らえ、朝廷を滅ぼした。,"Захватив несколько городов подряд, они вскоре ворвались в Нанкин, а ещё через какое-то время им удалось пленить императора Хунгуана и тем самым положить конец прежнему императорскому двору.",,
,,,,,,,,,,默认134,,,,在他们夺了江山，初步稳定天下大势后，便不再掩饰残暴的本性，颁布了“剃发易服”令，强令天下之人剃头，不再穿汉家衣冠。,在他們奪了江山，初步穩定天下大勢後，便不再掩飾殘暴的本性，頒布了“剃髮易服”令，強令天下之人剃頭，不再穿漢家衣冠。,"Having conquered the realm and temporarily stabilized their rule, they shed all pretense of civility by decreeing nationwide ""Shaving Hair and Changing Attire""—forcing Han Chinese to adopt Manchu hairstyles and abandon traditional dress.",天下を手にし、まずは世間の情勢を安定させてから、彼らはその残虐な本性をむき出しにした。「剃髪令」を公布すると、国の全ての者に頭を剃ることを強制し、漢服の着用を禁じた。,"Захватив Поднебесную и более менее уладив в ней общую обстановку, они перестали скрывать свою жестокую природу и издали указ ""о бритье головы и смене одежды"", принуждая всех подданных обрить голову и отказаться от ношения ханьской одежды и головных уборов.",,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋9,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认135,,,,江南多有抗令不从者，其中以江阴最甚，他们最终因抗令而被如扬州般屠城。,江南多有抗令不從者，其中以江陰最甚，他們最終因抗令而被如揚州般屠城。,"Across Jiangnan, many defied orders, none more fiercely than Jiangyin. They were ultimately massacred like Yangzhou for their resistance.",江南にはそれにまつろわぬ者が多くいた。中でも江陰は最も顕著で、徹底的にお触れに抗うと、揚州のように皆殺しにされた。,"К югу от реки Янцзы оказалось много тех, кто не захотел подчиняться этому указу - среди них наиболее яростно сопротивлялись жители Цзянъиня; в конце концов, за неповиновение их город был разгромлен, как и Янчжоу.",,
,,,,,,,,,,默认136,,,,江阴人比扬州人还要惨。,江陰人比揚州人還要慘。,The people of Jiangyin endured even greater suffering than those of Yangzhou.,江陰人は揚州人よりもさらに悲惨だった。,Но в Цзянъине дела вышли ещё хуже.,,
,,,,,,,,,,默认137,,,,扬州是十人九亡，尚且有一人能活。,揚州是十人九亡，尚且有一人能活。,"In Yangzhou, nine in ten perished, yet one might still live.",揚州では十人中九人死んでも、一人は生き延びることができた。,"В Янчжоу на каждого выжившего погибло девятеро - но, по крайней мере, хоть кто-то остался жив.",,
,,,,,,,,,,默认138,,,,而那江阴城，硬生生被屠成了一座无人的鬼城。,而那江陰城，硬生生被屠成了一座無人的鬼城。,But Jiangyin City was slaughtered into a lifeless ghost town.,しかし江陰は徹底的に殺し尽くされ、人っ子一人いない鬼城になった。,"Но Цзянъинь попросту обезлюдел, превратился в самый настоящий город-призрак.",,
,,,,,,,,,,默认139,,,,此时，大概便是史书上所载的天下变乱、改朝换代之时。,此時，大概便是史書上所載的天下變亂、改朝換代之時。,This was likely the historical turning point when dynasties changed hands.,これがおそらく歴史書に書かれていた天下の変乱、王朝が変わる節目だったのだろう。,"Это, пожалуй, и были те самые времена, о которых столько написано в исторических книгах - когда Поднебесная в беспорядке и одна династия сменяется другой.",,
,,,,,,,,,,默认140,,,,于此乱世，苟活已属不易。,於此亂世，苟活已屬不易。,"In such chaotic times, survival itself is struggle enough.",この乱世では、生きることすらままならない。,В такую смуту просто остаться в живых уже было не самым лёгким делом.,,
,,,,,,,,,,默认141,,,,我又何必奢求其他呢？,我又何必奢求其他呢？,Why should I presume to hope for more?,それ以上何を望む必要があろうか。,Так как же я могу претендовать на что-то большее?,,
,,,,,,,,,,默认142,,,,……,……,...,……,...,,
,Bgm,与雁同行,,,,3,3,,,,,,,,,,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋10,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认143,,,,想必，我会被江阴人视作没有骨气的人。,想必，我會被江陰人視作沒有骨氣的人。,"Doubtless, Jiangyin's people would deem me cowardly.",おそらく私は、江陰人から根性なしと蔑まれるだろう。,Жители Цзянъиня наверняка сочли бы меня бесхребетной личностью.,,
,,,,,,,,,,默认144,,,,为了保全性命，我终究还是剃了发。,為了保全性命，我終究還是剃了發。,"To preserve my life, I finally shaved my head in submission.",我が身可愛さで、結局頭を剃ってしまった。,Потому что ради спасения собственной жизни я в конце концов обрил голову.,,
,,,,,,,,,,默认145,,,,金钱鼠尾，丑陋不堪，令我愈发思念前朝。,金錢鼠尾，醜陋不堪，令我越來越思念前朝。,"The rat-tail hairstyle is utterly hideous, making me miss the Former Dynasty even more.",辮髪なぞ醜いことこの上ない。ますます前王朝のことが懐かしくなった。,"Дурацкая косичка, напоминавшая не то связку монет, не то крысиный хвост, была настолько безобразной, что я ещё больше затосковал по прежней династии.",,
,,,,,,,,,,默认146,,,,新的衣裳倒也不算很丑，但必定没有原本的汉家衣裳好看。,新的衣裳倒也不算很醜，但必定沒有原本的漢家衣裳好看。,"The new clothes aren't exactly ugly, but they're certainly not as beautiful as the original Han attire.",新しい服も見苦しいというほどではないが、元の漢服の方が絶対に美しい。,"Новые же одежды маньчжурского образца хоть и не были совсем уж плохи - но определённо не были настолько красивы, как ханьский наряд.",,
,,,,,,,,,,默认147,,,,呵……,呵……,Heh...,ふっ……,Хех...,,
,,,,,,,,,,默认148,,,,幸好我把雁儿姐藏住了，他们看不见，自然无法强令她改变任何模样。,幸好我把雁兒姐藏住了，他們看不見，自然無法強令她改變任何模樣。,"Fortunately, I've hidden <ruby=Swan Goose>Sister Yan</ruby>—they can't see her, so they can't force her to change anything.",幸い、雁姉のことを隠したおかげで、連中からは見えない。当然ながら、彼女の姿を変えることを強要することもできない。,"Хорошо хоть, сестричка Лебёдушка была скрыта мной от чужих глаз - никто не стал бы заставлять её менять свой образ.",,
,,,,,,,,,,默认149,,,,雁儿姐衣冠未变，仍是当年那最美的模样。,雁兒姐衣冠未變，仍是當年那最美的模樣。,"<ruby=Swan Goose>Sister Yan</ruby>'s attire remains unchanged, still as beautiful as it was back then.",雁姉の服装は相変わらず、最も美しい頃のままだ。,"Так что наряд её оставался всё тем же - она была так же неизменно красива, как в тот год.",,
,,,,,,,,,,默认150,,,,……,……,...,……,...,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,寻闯2,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认151,,,,三年过后，天下硝烟渐渐散去。,三年過後，天下硝煙漸漸散去。,"Three years later, the smoke of war gradually dissipated across the land.",三年が過ぎ、天下の戦火も次第に収まっていった。,По прошествии трёх лет дым сражений в Поднебесной постепенно рассеялся.,,
,,,,,,,,,,默认152,,,,虽然仍有明室余烬在抗争，但四海之地，却开始接受改朝换代的事实，大多已习惯了新朝统治。,雖然仍有明室餘燼在抗爭，但四海之地，卻開始接受改朝換代的事實，大多已習慣了新朝統治。,"Though remnants of the Ming resistance still fought on, most of the realm began to accept the reality of the dynastic shift and grew accustomed to the rule of the New Dynasty.",未だに明の残党が抵抗を続けているものの、世間のほとんどは王朝の交代という事実を受け入れ始め、新王朝の統治に慣れていった。,"Хотя кое-где ещё встречались остатки Мин, продолжавшие сопротивляться, но в целом по стране все начали смиряться с фактом того, что пришла новая династия, и большинство уже подпривыкло к её правлению.",,
,,,,,,,,,,默认153,,,,我与雁儿姐一路同行。,我與雁兒姐一路同行。,I journeyed alongside <ruby=Swan Goose>Sister Yan</ruby>.,私と雁姉は旅を続ける。,Мы с сестричкой Лебёдушкой продолжали наше путешествие.,,
,,,,,,,,,,默认154,,,,我们遍历名胜，栖身诸多城镇。,我們遍歷名勝，棲身諸多城鎮。,We toured famous sites and lodged in numerous towns.,数々の名所を巡り、様々な町に住んだ。,"Мы исходили все известные места, останавливались в самых разных городах и поселениях.",,
,,,,,,,,,,默认155,,,,辗转流徙间，我多以抄书为业。,輾轉流徙間，我多以抄書為業。,"In our wanderings, I frequently supported myself by transcribing texts.",世が移り行く中、私は写本を生業とした。,На протяжении наших с ней скитаний я в основном зарабатывал на жизнь переписыванием книг.,,
,,,,,,,,,,默认156,,,,居停日久之时，也会得到当地人的信任，被聘去写一些碑铭寿序，从而赚取些银两。,居停日久之時，也會得到當地人的信任，被聘去寫一些碑銘壽序，從而賺取些銀兩。,"When we settled somewhere long enough, I'd earn the locals' confidence and be commissioned to compose memorial inscriptions or celebratory verses, thereby making some silver taels.",長く滞在しているうちに現地の人の信用を得て、碑文や祝い文の依頼もされるようになり、多少の稼ぎになった。,"Задержавшись в каком-нибудь месте надолго и завоевав доверие местных жителей, я мог получить от них заказ на написание мемориальных надписей на камне или поздравительных посланий по случаю долголетия, а в качестве вознаграждения - немного серебра.",,
,,,,,,,,,,默认157,,,,闲下来的时候，我也爱带着雁儿姐四处逛逛。,閒下來的時候，我也愛帶著雁兒姐四處逛逛。,"In our idle moments, I delighted in showing <ruby=Swan Goose>Sister Yan</ruby> around.",暇な時は雁姉と一緒にあちこちぶらつくのも好きだった。,В часы досуга я любил ходить с сестричкой Лебёдушкой по разным местам.,,
,,,,,,,,,,默认158,,,,我们会在本地寻访一些市井奇人、乡野老叟、亦或是其他的百姓，听他们讲述一些奇闻轶事。,我們會在本地尋訪一些市井奇人、鄉野老叟、亦或是其他的百姓，聽他們講述一些奇聞異事。,"We'd seek out local curiosities - market vendors, country elders, or other ordinary folk - to hear their peculiar stories.",現地の奇人や田舎の老人、はたまた農民などを訪ね、彼らから面白い話を聞いて回った。,"Мы искали местных примечательных персонажей, деревенских старцев или кого-то ещё - и слушали от них различные необычные истории.",,
,,,,,,,,,,默认159,,,,屠夫给我讲过狼的狡诈。,屠夫給我講過狼的狡詐。,The butcher recounted to me the treachery of wolves.,屠殺夫は狼の狡猾さについて語ってくれた。,Мясник рассказал нам про хитрых волков.,,
,,,,,,,,,,默认160,,,,漂母给我说过猪婆龙的凶悍。,漂母跟我說過豬婆龍的兇悍。,The washerwoman told me of the pig-dragon's ferocity.,<ruby=洗濯女>漂母</ruby>は<ruby=鰐>猪婆龍</ruby>の恐ろしさについて語ってくれた。,"Прачка - про злобного крокодила-""свинодракона"".",,
,,,,,,,,,,默认161,,,,画师道出了骏马破画而出的神异。,畫師道出了駿馬破畫而出的神異。,The artist captured the divine moment when the steed burst forth from the painting.,絵描きは駿馬が絵の中から飛び出してくる怪異について語ってくれた。,"Художник поведал про чудесного скакуна, который сам вырвался из картины.",,
,,,,,,,,,,默认162,,,,衙役、和尚、小童、卖花女、卖瓜郎，这世间的芸芸众生，每个人都有属于他的一些故事。,衙役、和尚、小童、賣花女、賣瓜郎，這世間的芸芸眾生，每個人都有屬於他的一些故事。,"Yamen runners, monks, children, flower girls, melon vendors - every common soul in this world carries their own story.",役人、僧、子供、花売り娘、瓜売り男……この世のあらゆる人々に、それぞれの物語がある。,"Почтовый курьер, монах, маленький ребёнок, продавщица цветов, продавец тыкв - у самых разных людей этого света можно было отыскать какую-то свою, неповторимую историю.",,
,,,,,,,,,,默认163,,,,我将这些故事一一记下，夜深人静之时，再与雁儿姐细细品论。,我將這些故事一一記下，夜深人靜之時，再與雁兒姐細細品論。,"I recorded each story carefully, then discussed them late at night with <ruby=Swan Goose>Sister Yan</ruby>.",私はそれらの物語を一つ一つ書き留め、人が寝静まる深夜に、雁姉とじっくり語り合うのだった。,"Я записывал себе каждую из них - и, когда спускалась ночная тишина, мы с сестричкой Лебёдушкой тщательно обсуждали их.",,
,,,,,,,,,,默认164,,,,……,……,...,……,...,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认165,,,,这些年里，我偶尔也会听闻一些朝堂上的变化。,這些年裡，我偶爾也會聽聞一些朝堂上的變化。,"Over these years, I occasionally caught wind of changes at court.",この数年、朝廷の情勢に変化が起きたという噂を耳にすることがあった。,За эти годы до меня иногда доходили вести о различных переменах при императорском дворе.,,
,,,,,,,,,,默认166,,,,我这等小人物，很难知道一些事情的真相，但是至少能把握一些大事的轮廓。,我這等小人物，很難知道一些事情的真相，但是至少能把握一些大事的輪廓。,"For someone as insignificant as me, the full truth remains elusive - yet I can still discern the shape of major events.",私のような小物では真実を知ることなど到底できないだろうが、少なくとも物事の概要くらいはわかる。,"Такой мелкой сошке, как я, конечно, не было суждено узнать всей правды - но, по крайней мере, я мог себе обрисовать общую картину того, что произошло.",,
,BgEvent,新朝9,,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认167,,,,顺治六年，我听说那下令屠城的“金翅大鹏王”因天花死了。,順治六年，我聽說那下令屠城的“金翅大鵬王”因天花死了。,"In the 6th Year of Shunzhi, I heard the ""Golden Eagle King""—who had ordered the city's massacre—died of smallpox.",順治六年、揚州の虐殺を命じた「金翼鵬王」が<ruby=天然痘>天花</ruby>に罹って死んだと聞いた。,"На шестой год Шуньчжи до меня дошли слухи, что устроивший в Янчжоу резню ""Великий Златокрылый Кондор"" умер, заразившись оспой. <i>(Примечание: князь Айсиньгёро Додо умер от оспы в 1649 году.)</i>",,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,新朝11,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认168,,,,顺治七年，又听说那颁布剃发易服恶令的摄政王死了。,順治七年，又聽說那頒布剃髮易服惡令的攝政王死了。,"In the 7th Year of Shunzhi, word came again that the regent who enforced the cruel Shaving Hair and Changing Attire decree had died.",順治七年、こんどは剃髪令などという悪令を出した摂政王が死んだと聞いた。,"На седьмой год Шуньчжи пришли вести, что князь-регент, издавший тот самый несправедливый указ о бритье головы и смене одежды, тоже умер. <i>(Примечание: князь Айсиньгёро Доргонь погиб на охоте при загадочных обстоятельствах в 1650 году.)</i>",,
,,,,,,,,,,默认169,,,,这些事，都会让我相信善恶有报，感慨时光变迁。,這些事，都會讓我相信善惡有報，感慨時光變遷。,Such events reinforced my belief in karmic justice and made me ponder time's relentless flow.,これらの出来事は、因果応報というものを私に信じさせ、時の移ろいを感じさせた。,"Подобные события возвращали мне веру в то, что добро и зло получают своё возмездие, а также заставляли вздыхать по поводу того, как летит время.",,
,FadeOut,black,,,,,1,,,,,,,,,,,
,,,,,,,,,,默认170,,,,同时，我也会因这些事开始思念一些故人。,同時，我也會因這些事開始思念一些故人。,They also rekindled my longing for certain figures from the past.,また、この件によってかつての知人たちのことを懐かしみ始めた。,Также они пробуждали во мне тоску по некоторым старым знакомым.,,
,,,,,,,,,,默认171,,,,一些因雁儿姐一直在我身旁，而几乎要忘记的故人。,一些因雁兒姐一直在我身旁，而幾乎要忘記的故人。,Old faces I'd nearly forgotten—ones overshadowed by <ruby=Swan Goose>Sister Yan</ruby>'s constant presence.,雁姉がずっと傍にいるため、忘れかけていた知人たちを。,"Тем, кого я уже почти позабыл из-за того, что со мной всё время рядом была сестричка Лебёдушка.",,
,,,,,,,,,,默认172,,,,……,……,...,……,...,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋11,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认173,,,,不知不觉，光阴荏苒，十几年悄然而逝。,不知不覺，光陰荏苒，十幾年悄然而逝。,"Unnoticed, years slipped by—over a decade vanished like mist.",知らず知らずのうちに時が流れ、十数年の月日が経っていた。,Так незаметно и бесследно протекло больше десятка лет.,,
,,,,,,,,,,默认174,,,,约莫在“康熙”初年时，我终究是走不动了。,約莫在“康熙”初年時，我終究是走不動了。,"By the ""Kangxi"" Emperor's early reign, my strength had faded entirely; walking became impossible.",年号が「<ruby=こうき>康熙</ruby>」に変わった最初の年ごろ、私はついに旅を続けられなくなった。,"Где-то к <ruby=с 1661 г.>началу</ruby> эпохи ""Канси"" мне уже стало тяжело бродить туда-сюда.",,
,,,,,,,,,,默认175,,,,与雁儿姐讨论后，我们决定找个地方歇一歇。,與雁兒姐討論後，我們決定找個地方歇一歇。,"After discussing it with <ruby=Swan Goose>Sister Yan</ruby>, we decided to find a place to rest.",雁姉と相談し、どこかでのんびり過ごすことを決めた。,"Посовещавшись с сестричкой Лебёдушкой, мы решили искать себе постоянное пристанище.",,
,,,,,,,,,,默认176,,,,我用多年来积蓄，于济南府淄川附近的一处山旁购了一座宅院，从此便定居于此。,我用多年來積蓄，於濟南府淄川附近的一處山旁購了一座宅院，從此便定居於此。,"With years of savings, I bought a house near the mountains in Zichuan, Jinan Prefecture, and settled there permanently.",私は長年の貯えで、済南府の<ruby=しせん>淄川</ruby>近くの山のふもとに家を買い、そこに定住することにした。,"На сбережения, накопленные за долгие годы, я приобрел дом со двором у подножия горы недалеко от Цзычуаня в округе Цзинань - и с тех пор осел здесь.",,
,,,,,,,,,,默认177,,,,我与雁儿姐住在山院内，养一些花鸟。,我與雁兒姐住在山院內，養一些花鳥。,"<ruby=Swan Goose>Sister Yan</ruby> and I lived in the mountain house, tending to flowers and birds.",私は雁姉とその家に住み、花や鳥を飼った。,Здесь мы с сестричкой Лебёдушкой стали разводить цветы и птиц.,,
,FadeOut,black,,,,,1,,,,,,,,,,,
,BgEvent,聊斋12,,,,,0,,,,,,,,,,,
,FadeIn,black,,,,,1,,,,,,,,,,,
,Wait,,,,,,0.5,,,,,,,,,,,
,,,,,,,,,,默认178,,,,我们时而一同弹琴下棋，时而一同读书作画，过着神仙眷侣一般的生活。,我們時而一同彈琴下棋，時而一同讀書作畫，過著神仙眷侶一般的生活。,"We spent our days playing the qin and Go, reading and painting together—living like celestial companions.",時には琴を弾き碁を打ち、時には本を読んで絵を描き、まるで仙人の夫婦のような暮らしを送った。,"Иногда мы вместе играли на гуцине или в шахматы, иногда читали книги или рисовали - в общем, вели жизнь идеальной супружеской пары.",,
,,,,,,,,,,默认179,,,,因她无法触碰到现实的事物，便指点我弹琴。,因她無法觸碰到現實的事物，便指點我彈琴。,"Since she couldn’t interact with physical objects, she guided me in playing the qin.",彼女は現実の物に触れられないため、私に琴を教えてくれた。,"Поскольку сама она не могла прикасаться к вещам, то просто давала мне указания, как играть на гуцине.",,
,,,,,,,,,,默认180,,,,而下棋时，她会指明自己想下的棋格，让我自行下手，从而与她对弈。,而下棋時，她會指明自己想下的棋格，讓我自行下手，從而與她對弈。,"During Go games, she’d indicate her desired move, and I’d place the piece for her, allowing us to play against each other.",碁を打つ時には、彼女が自分の打ちたい場所を言い、私が自分で打ち対局した。,"А когда мы играли в шахматы, она указывала, какой ход хочет сделать, и я сам перемещал фигуру.",,
